"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Two or More Races","Male","Seattle Fire Department","36","51.96","R","Active"
"White","Female","Legislative Department","49","80.96","R","Active"
"White","Male","Seattle City Light","45","77.36","R","Active"
"White","Male","Seattle Department of Transportation","48","40.00","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","35","67.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","67.46","R","Active"
"White","Male","Seattle City Light","59","77.17","R","Active"
"White","Male","Seattle City Light","60","66.98","R","Active"
"White","Female","Seattle Police Department","38","53.27","R","Active"
"Black or African American","Male","Seattle Public Utilities","59","63.26","R","Active"
"White","Male","Construction and Inspections","41","83.24","R","Active"
"White","Male","Information Technology","57","75.90","R","Active"
"White","Male","Seattle Public Utilities","51","46.12","R","Active"
"American Indian or Alaska Native","Female","Seattle Public Utilities","50","78.15","R","Active"
"Asian","Male","Information Technology","40","72.55","R","Active"
"White","Male","Seattle City Light","53","81.48","R","Active"
"White","Male","Seattle City Light","43","88.87","R","Active"
"Black or African American","Female","Education and Early Learning","38","43.18","T","Active"
"White","Male","Seattle Police Department","57","69.09","R","Active"
"White","Female","Seattle Public Utilities","38","53.72","R","Active"
"White","Male","Seattle City Light","41","81.93","R","Active"
"Black or African American","Female","Seattle Public Library","64","34.48","R","Active"
"White","Male","Seattle Fire Department","25","49.48","R","Active"
"Asian","Male","Seattle Public Library","71","32.83","R","Active"
"Asian","Female","Housing Office","62","71.32","R","Active"
"White","Female","Construction and Inspections","36","51.29","R","Active"
"White","Female","Seattle Police Department","24","53.39","R","Active"
"Not Specified","Female","Seattle Police Department","56","77.63","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","57","44.74","R","Active"
"White","Male","Seattle City Light","54","81.48","R","Active"
"White","Female","Finance and Administrative Service","44","42.03","R","Active"
"White","Female","Construction and Inspections","33","81.16","R","Active"
"White","Male","Seattle City Light","53","72.26","R","Active"
"Black or African American","Female","Human Services","39","48.58","R","Active"
"Black or African American","Male","Seattle Public Utilities","63","35.77","R","Active"
"Two or More Races","Female","Human Services","26","43.90","R","Active"
"White","Female","Parks and Recreation Department","24","25.98","T","Active"
"Asian","Male","Parks and Recreation Department","65","36.63","R","Active"
"Black or African American","Male","Seattle Public Utilities","71","36.63","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","39","34.56","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","41","41.46","R","Leave Of Absence"
"Not Specified","Male","Parks and Recreation Department","21","25.98","T","Active"
"Asian","Male","Seattle Public Utilities","50","81.46","R","Active"
"Hispanic or Latino/a/x","Female","Parks and Recreation Department","50","31.66","R","Active"
"White","Female","Seattle City Light","43","60.99","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","35","59.41","R","Active"
"White","Male","Education and Early Learning","38","60.99","R","Active"
"Not Specified","Male","Finance and Administrative Service","25","49.58","R","Active"
"White","Male","Construction and Inspections","44","52.17","R","Active"
"Asian","Male","Seattle Public Library","45","54.12","R","Active"
"White","Male","Seattle Public Library","37","54.26","R","Active"
"Asian","Male","Parks and Recreation Department","52","36.63","R","Active"
"White","Male","Parks and Recreation Department","19","25.98","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Library","60","32.28","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","59","57.14","R","Active"
"American Indian or Alaska Native","Female","Seattle Center","84","37.99","R","Active"
"White","Female","Parks and Recreation Department","18","25.98","T","Active"
"White","Female","Parks and Recreation Department","20","25.98","T","Active"
"White","Male","Information Technology","48","71.34","R","Active"
"White","Male","Seattle City Light","54","56.09","R","Active"
"White","Male","Seattle Department of Transportation","43","45.23","R","Active"
"White","Male","Seattle Police Department","53","66.16","R","Leave with Pay"
"Black or African American","Male","Seattle City Light","45","76.38","R","Active"
"White","Female","Seattle City Light","65","67.91","R","Active"
"White","Female","Office of Labor Standards","31","44.82","R","Active"
"White","Male","Parks and Recreation Department","19","25.98","T","Active"
"White","Male","Parks and Recreation Department","23","25.98","T","Active"
"White","Male","Finance and Administrative Service","45","49.34","R","Active"
"White","Male","Seattle Public Utilities","77","42.97","R","Leave with Pay"
"White","Female","Parks and Recreation Department","21","25.98","T","Active"
"Not Specified","Female","Parks and Recreation Department","16","20.76","T","Active"
"Black or African American","Female","Seattle Municipal Courts","29","42.40","R","Active"
"Asian","Female","Seattle Public Utilities","70","79.51","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","39","50.27","R","Active"
"White","Male","Seattle Public Utilities","31","35.77","R","Active"
"White","Male","Seattle Fire Department","46","49.48","R","Active"
"Black or African American","Male","Seattle Public Utilities","67","53.27","R","Leave with Pay"
"White","Male","Finance and Administrative Service","39","53.63","R","Active"
"Two or More Races","Female","Seattle City Light","44","35.77","R","Active"
"White","Male","Parks and Recreation Department","44","25.98","T","Active"
"White","Female","Employees Retirement System","46","48.01","R","Active"
"White","Female","Law Department","32","51.33","R","Active"
"White","Male","Finance and Administrative Service","30","51.57","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","57","71.10","R","Active"
"Black or African American","Male","Seattle Public Utilities","36","32.80","R","Active"
"Not Specified","Male","Information Technology","52","84.88","R","Active"
"White","Female","Community Safety and Communication Center","43","101.76","R","Active"
"Black or African American","Male","Parks and Recreation Department","40","32.80","R","Active"
"Asian","Male","Seattle City Light","53","91.55","R","Active"
"Black or African American","Female","Parks and Recreation Department","42","25.98","T","Active"
"Black or African American","Female","Seattle Public Utilities","31","43.36","R","Active"
"Two or More Races","Female","Seattle Public Utilities","37","43.69","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","42","60.99","R","Active"
"White","Male","Seattle Police Department","49","50.04","R","Leave with Pay"
"Two or More Races","Female","Seattle City Light","28","36.17","R","Active"
"Asian","Male","Seattle Department of Transportation","32","77.99","R","Active"
"Asian","Male","Sustainability and Environment","38","67.25","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Fire Department","36","50.62","R","Active"
"White","Male","Seattle Fire Department","50","58.63","R","Active"
"Asian","Female","Human Services","37","45.19","R","Active"
"White","Male","Seattle Police Department","53","84.70","R","Active"
"White","Female","Seattle Public Library","55","63.25","R","Active"
"Black or African American","Male","Seattle Police Department","34","66.48","R","Active"
"White","Female","Parks and Recreation Department","43","61.80","R","Active"
"White","Female","Seattle Police Department","53","79.50","R","Active"
"White","Female","Parks and Recreation Department","59","36.63","R","Active"
"Black or African American","Male","Seattle Public Utilities","61","42.55","R","Leave with Pay"
"Black or African American","Male","Seattle City Light","49","77.36","R","Active"
"White","Male","Seattle Fire Department","41","44.53","R","Active"
"Asian","Female","Seattle Department of Transportation","28","45.74","T","Active"
"White","Male","Seattle Department of Transportation","35","67.95","R","Active"
"Asian","Female","Information Technology","38","78.75","R","Active"
"Asian","Male","Seattle Department of Transportation","59","90.85","R","Leave with Pay"
"White","Male","Seattle Fire Department","32","49.48","R","Active"
"White","Male","Information Technology","66","81.44","R","Active"
"Asian","Male","Seattle Police Department","50","34.81","R","Active"
"White","Female","Seattle Department of Transportation","30","21.70","R","Active"
"Black or African American","Male","Parks and Recreation Department","57","38.89","R","Active"
"White","Female","Seattle City Light","49","44.92","R","Active"
"White","Male","Seattle Fire Department","69","52.94","R","Active"
"White","Female","Seattle Public Library","31","57.53","R","Active"
"White","Male","Seattle Department of Transportation","32","60.80","R","Active"
"White","Male","Seattle City Light","52","88.87","R","Active"
"Black or African American","Male","Seattle Public Utilities","46","43.39","R","Active"
"Black or African American","Female","Parks and Recreation Department","42","70.76","R","Active"
"White","Female","Human Services","58","48.67","R","Active"
"White","Male","Seattle Center","38","43.48","T","Active"
"White","Female","Seattle City Light","41","63.13","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Information Technology","48","67.77","R","Active"
"White","Female","Community Safety and Communication Center","24","44.58","R","Active"
"White","Female","Seattle Fire Department","51","41.41","R","Active"
"White","Male","Seattle City Light","56","43.92","R","Active"
